ingreso_laboral,consumo,OSIG,n_personas,ISR,IVA,Total aportacion,Estado
18302.832,47511.762,Normativo,336.0,3138.7627,2564.9531,5703.7158,Aguascalientes
10673.105,20446.502,Normativo,633.0,1135.2097,331.85159,1467.0613,Aguascalientes
7542.3462,27517.244,Normativo,1267.0,0.0,311.23438,311.23438,Aguascalientes
5401.3374,21504.805,Normativo,633.0,351.98544,190.73012,542.71558,Aguascalientes
3760.3987,12699.195,Normativo,240.0,226.27396,685.57422,911.84814,Aguascalientes
7439.0737,24021.902,Normativo,254.0,0.0,1296.8379,1296.8379,Aguascalientes
1719.7053,14587.76,Normativo,479.0,0.0,169.72356,169.72356,Aguascalientes
5126.6631,15184.711,Normativo,867.0,0.0,123.45604,123.45604,Aguascalientes
1501.4824,14767.474,Normativo,461.0,0.0,132.71007,132.71007,Aguascalientes
7328.1597,25980.65,Normativo,691.0,587.21692,428.75681,1015.9738,Aguascalientes
8054.6357,13449.88,Normativo,921.0,0.0,143.69148,143.69148,Aguascalientes
1657.3489,13035.209,Normativo,650.0,82.475647,312.06824,394.54388,Aguascalientes
10928.721,23797.875,Normativo,495.0,1191.0166,283.9325,1474.9491,Aguascalientes
2426.897,20488.584,Normativo,495.0,0.0,707.21857,707.21857,Aguascalientes
9491.9072,22238.205,Normativo,248.0,0.0,1200.543,1200.543,Aguascalientes
2098.667,13067.209,Normativo,495.0,112.65125,451.0495,563.70074,Aguascalientes
7164.312,17078.381,Normativo,1052.0,0.0,130.9496,130.9496,Aguascalientes
2004.9603,19091.129,Normativo,991.0,106.24396,294.63879,400.88275,Aguascalientes
11169.43,19443.285,Normativo,581.0,1243.5691,568.92041,1812.4895,Aguascalientes
7479.1133,19992.715,Normativo,1094.0,605.64575,226.12804,831.7738,Aguascalientes
1242.9009,11444.278,Normativo,820.0,54.137329,290.33231,344.46964,Aguascalientes
1146.8173,16723.684,bisexual,845.0,47.567505,98.830429,146.39793,Aguascalientes
6419.376,8756.8701,Normativo,449.0,476.27023,170.47842,646.74866,Aguascalientes
3289.1912,6274.8408,Normativo,211.0,194.05463,338.75146,532.80609,Aguascalientes
21437.766,26481.143,Normativo,386.0,3990.2656,515.53406,4505.7998,Aguascalientes
6184.4873,11083.937,Normativo,891.0,0.0,158.59135,158.59135,Aguascalientes
1905.0723,11248.308,Normativo,559.0,99.414001,166.41757,265.83157,Aguascalientes
5183.688,26190.021,Normativo,1118.0,325.41425,223.93457,549.34882,Aguascalientes
2790.6882,26546.809,Normativo,279.0,159.96895,1433.1465,1593.1155,Aguascalientes
6755.2856,10375.081,gay,537.0,517.27893,201.98177,719.26068,Aguascalientes
13391.28,14550.329,Normativo,269.0,1804.6993,785.50879,2590.208,Aguascalientes
4876.8223,12974.039,Normativo,506.0,0.0,150.94858,150.94858,Aguascalientes
2324.3142,8301.3359,Normativo,269.0,128.08011,448.15283,576.23291,Aguascalientes
18036.639,19826.236,Normativo,269.0,0.0,1070.332,1070.332,Aguascalientes
7184.1421,17473.715,Normativo,829.0,0.0,250.01793,250.01793,Aguascalientes
15530.87,28941.191,Normativo,587.0,0.0,633.06653,633.06653,Aguascalientes
6589.8262,12877.361,Normativo,829.0,497.07922,198.6264,695.70563,Aguascalientes
10216.665,24844.818,Normativo,881.0,1035.5581,306.51245,1342.0706,Aguascalientes
9929.6445,20236.383,Normativo,532.0,979.1637,514.59003,1493.7537,Aguascalientes
1794.1827,20368.824,Normativo,1863.0,0.0,101.51908,101.51908,Aguascalientes
5569.4194,13942.496,Normativo,798.0,372.50534,161.9068,534.41211,Aguascalientes
7363.5835,14438.261,Normativo,501.0,591.5415,257.67239,849.21387,Aguascalientes
1870.0172,20253.848,Normativo,1253.0,97.017075,189.40041,286.41748,Aguascalientes
5952.2095,21585.34,Normativo,1002.0,419.23734,212.0092,631.24652,Aguascalientes
1739.85,12155.357,Normativo,416.0,88.116745,419.57471,507.69147,Aguascalientes
3943.9797,33220.738,bisexual,1041.0,238.82651,91.280121,330.10663,Aguascalientes
1810.823,10457.512,Normativo,625.0,0.0,149.62848,149.62848,Aguascalientes
1642.5864,10817.963,Normativo,217.0,0.0,584.01465,584.01465,Aguascalientes
7031.1318,7125.7666,Normativo,231.0,550.95496,384.68896,935.64392,Aguascalientes
4844.272,23818.559,Normativo,869.0,300.38492,182.63025,483.01517,Aguascalientes
2094.5466,25497.57,gay,693.0,112.36951,364.82477,477.19427,Aguascalientes
12138.327,25565.182,Normativo,435.0,1464.3752,340.8082,1805.1835,Aguascalientes
1526.8223,38341.102,Normativo,1015.0,73.550758,274.02231,347.57306,Aguascalientes
13766.348,21429.424,Normativo,507.0,1906.5742,457.0845,2363.6587,Aguascalientes
7312.8965,22431.949,Normativo,1015.0,585.35352,253.71701,839.07056,Aguascalientes
9847.0918,22648.359,Normativo,478.0,963.43933,440.9173,1404.3567,Aguascalientes
2129.9236,10984.84,Normativo,478.0,114.78844,379.17099,493.95944,Aguascalientes
2673.6243,6336.624,Normativo,259.0,151.96457,342.08691,494.05148,Aguascalientes
9611.4551,21214.01,Normativo,1297.0,918.55615,198.37903,1116.9352,Aguascalientes
6636.1377,19683.455,Normativo,519.0,502.73306,383.19727,885.9303,Aguascalientes
2974.9771,21451.494,Normativo,519.0,172.5699,740.45538,913.02527,Aguascalientes
6068.7124,18241.717,bisexual,519.0,433.46033,212.23621,645.69653,Aguascalientes
3319.6343,32140.23,Normativo,1634.0,196.1362,211.08775,407.22394,Aguascalientes
6833.2544,16805.266,Normativo,817.0,0.0,459.59634,459.59634,Aguascalientes
5325.6641,29897.506,Normativo,1736.0,0.0,162.55348,162.55348,Aguascalientes
2527.4634,13610.811,Normativo,545.0,141.97067,469.81335,611.78406,Aguascalientes
1995.8112,21929.041,Normativo,298.0,105.61837,756.93958,862.55792,Aguascalientes
29267.664,33216.688,Normativo,159.0,6354.1309,1793.2246,8147.3555,Aguascalientes
3415.6704,13294.616,Normativo,317.0,202.70277,458.89944,661.60223,Aguascalientes
2087.0085,20799.102,Normativo,448.0,111.85409,527.65674,639.5108,Aguascalientes
4157.4507,17904.326,Normativo,546.0,253.42279,618.01544,871.43823,Aguascalientes
2572.5366,7259.7876,Normativo,273.0,145.05258,391.92432,536.97693,Aguascalientes
4934.2588,25489.74,Normativo,820.0,306.53787,646.65417,953.19202,Aguascalientes
17340.617,31982.008,Normativo,820.0,2877.4082,811.35822,3688.7664,Aguascalientes
1287.2469,29002.543,Normativo,556.0,57.169537,152.08002,209.24956,Aguascalientes
9269.8652,26891.057,Normativo,1180.0,853.49139,539.27582,1392.7672,Aguascalientes
6637.7593,25867.768,Normativo,885.0,502.93103,656.24451,1159.1755,Aguascalientes
11008.987,22620.373,Normativo,590.0,1208.5406,440.37286,1648.9136,Aguascalientes
15863.058,28924.643,Normativo,833.0,0.0,413.86035,413.86035,Aguascalientes
22583.928,31818.918,Normativo,536.0,4301.583,1098.3156,5399.8984,Aguascalientes
3171.3821,11217.672,Normativo,536.0,185.99931,387.20828,573.20758,Aguascalientes
6948.9248,26848.84,Normativo,1071.0,540.91895,538.42908,1079.348,Aguascalientes
14065.231,28825.24,Normativo,803.0,1987.7562,499.40579,2487.1621,Aguascalientes
4375.2998,13108.97,Normativo,536.0,0.0,205.78403,205.78403,Aguascalientes
2348.7505,27538.99,Normativo,1526.0,129.75098,257.68439,387.43536,Aguascalientes
6606.8623,15930.473,Normativo,763.0,499.15906,227.93674,727.09583,Aguascalientes
8971.7197,12826.374,Normativo,509.0,796.70178,249.70358,1046.4054,Aguascalientes
3876.2217,13855.056,Normativo,477.0,234.19347,478.24463,712.43811,Aguascalientes
8665.6416,16616.219,Normativo,477.0,750.50012,573.55316,1324.0532,Aguascalientes
13928.268,20412.592,Normativo,715.0,1950.5544,597.28259,2547.8369,Aguascalientes
1838.0004,20728.285,Normativo,477.0,0.0,208.63885,208.63885,Aguascalientes
5220.373,23945.457,Normativo,954.0,329.89285,270.83542,600.72827,Aguascalientes
4869.4307,9682.2881,Normativo,304.0,302.10516,522.7041,824.80927,Aguascalientes
11483.775,18162.844,Normativo,646.0,1312.1981,461.86209,1774.0602,Aguascalientes
5224.5918,27970.68,Normativo,608.0,330.4079,544.53247,874.94037,Aguascalientes
2950.2434,17272.158,Normativo,534.0,170.87872,336.25372,507.13245,Aguascalientes
3205.6423,16120.062,Normativo,534.0,188.34189,313.82489,502.16678,Aguascalientes
16792.777,24169.441,Normativo,267.0,0.0,1304.8027,1304.8027,Aguascalientes
11320.219,13675.04,bisexual,284.0,1276.4899,738.25586,2014.7457,Aguascalientes
6059.2271,11619.07,Normativo,267.0,432.30231,627.2627,1059.5649,Aguascalientes
2508.3833,15950.359,Normativo,649.0,140.66605,550.56958,691.2356,Aguascalientes
14759.532,44149.551,Normativo,1034.0,2176.3403,631.7016,2808.042,Aguascalientes
6428.6958,26241.934,Normativo,649.0,477.40802,510.87708,988.2851,Aguascalientes
2857.021,15218.088,Normativo,546.0,164.50453,525.29321,689.79773,Aguascalientes
11157.418,16487.404,Normativo,273.0,0.0,890.08301,890.08301,Aguascalientes
4547.6953,17061.932,Normativo,543.0,280.1062,432.84756,712.95374,Aguascalientes
5836.5918,15533.953,Normativo,171.0,405.12244,838.61035,1243.7328,Aguascalientes
1135.1964,9614.0117,Normativo,171.0,46.772923,519.01855,565.7915,Aguascalientes
1276.1702,10848.68,Normativo,341.0,56.412151,374.47113,430.88327,Aguascalientes
6090.9688,27531.18,Normativo,1042.0,436.17743,223.83632,660.01373,Aguascalientes
5077.7441,11821.292,Normativo,781.0,316.34885,169.14162,485.49048,Aguascalientes
12053.159,29368.275,Normativo,1042.0,1441.2422,332.1702,1773.4124,Aguascalientes
6826.2627,23836.014,Normativo,512.0,0.0,393.36411,393.36411,Aguascalientes
10017.216,23737.977,Normativo,768.0,995.84387,285.00455,1280.8484,Aguascalientes
2954.7446,18392.299,Normativo,289.0,171.18648,992.91992,1164.1064,Aguascalientes
12518.993,18442.453,Normativo,613.0,1567.7709,636.59015,2204.3611,Aguascalientes
2227.0029,22963.764,Normativo,1226.0,121.42635,200.26883,321.69519,Aguascalientes
13702.41,28737.844,Normativo,866.0,1889.2075,432.63571,2321.8433,Aguascalientes
13012.784,31992.08,Normativo,577.0,1701.8931,622.82092,2324.7139,Aguascalientes
10405.247,19389.391,Normativo,878.0,1076.73,277.42758,1354.1576,Aguascalientes
1079.9513,21517.551,Normativo,1378.0,42.995476,109.79498,152.79045,Aguascalientes
10588.335,24107.395,Normativo,585.0,1116.7024,469.32199,1586.0244,Aguascalientes
3477.6052,25972.822,Normativo,827.0,206.93764,301.60883,508.54645,Aguascalientes
4182.0781,23795.637,Normativo,829.0,255.10674,340.47342,595.58014,Aguascalientes
2214.7341,27119.895,Normativo,553.0,120.58746,527.9696,648.55707,Aguascalientes
12052.301,22270.23,Normativo,587.0,1441.009,459.40903,1900.4181,Aguascalientes
9345.1318,27822.279,Normativo,553.0,867.82788,370.89764,1238.7256,Aguascalientes
7947.3193,16314.924,T+,876.0,662.80554,233.43756,896.2431,Aguascalientes
1330.1375,9125.4121,Normativo,550.0,60.102222,177.65337,237.75558,Aguascalientes
6644.4258,21059.91,Normativo,1374.0,503.74487,159.07481,662.8197,Aguascalientes
10890.379,21105.734,Normativo,1168.0,1182.6458,427.54456,1610.1903,Aguascalientes
12716.203,21206.525,Normativo,1751.0,1621.3365,290.05515,1911.3917,Aguascalientes
13474.108,27052.814,Normativo,571.0,1827.1969,526.66309,2353.8599,Aguascalientes
1194.4094,9256.0049,Normativo,269.0,50.821671,499.69141,550.51306,Aguascalientes
8985.04,30298.949,bisexual,857.0,799.23901,433.52438,1232.7634,Aguascalientes
7920.2446,32228.014,Normativo,286.0,659.50018,1739.8496,2399.3499,Aguascalientes
4025.657,24407.418,Normativo,1142.0,244.41127,489.46893,733.88019,Aguascalientes
10529.017,20474.352,Lesbiana,805.0,1103.7518,292.95145,1396.7032,Aguascalientes
3219.9497,18799.588,Normativo,1342.0,189.32018,256.22525,445.54541,Aguascalientes
6214.084,14588.9,Normativo,570.0,451.20764,503.57468,954.78235,Aguascalientes
6465.856,15005.765,Normativo,805.0,481.94464,180.16324,662.10791,Aguascalientes
1735.8225,11814.78,Normativo,537.0,87.84137,230.00963,317.85101,Aguascalientes
7598.0259,14509.146,gay,679.0,620.16284,368.08511,988.24792,Aguascalientes
3779.6907,18333.023,Normativo,906.0,227.59306,410.84296,638.43604,Aguascalientes
2171.4148,24844.742,Normativo,770.0,117.62546,383.21707,500.84253,Aguascalientes
5174.4727,31747.662,Normativo,770.0,324.28922,368.66885,692.95807,Aguascalientes
7385.2031,18740.984,Normativo,1090.0,0.0,189.95462,189.95462,Aguascalientes
11428.588,33380.5,Normativo,770.0,1300.1494,477.61588,1777.7653,Aguascalientes
11143.876,20256.688,Normativo,545.0,0.0,229.9678,229.9678,Aguascalientes
2794.1062,18407.723,Normativo,515.0,160.20267,358.36069,518.56335,Aguascalientes
1313.191,11095.35,Normativo,484.0,58.943493,216.0038,274.9473,Aguascalientes
1781.2377,22079.338,Normativo,727.0,90.946671,315.91602,406.86267,Aguascalientes
6485.6821,17893.449,Normativo,257.0,484.36505,965.99023,1450.3552,Aguascalientes
7391.167,27555.941,Normativo,1762.0,594.909,230.56348,825.47247,Aguascalientes
8008.0767,26403.014,T+,587.0,670.2229,1112.7111,1782.934,Aguascalientes
7811.0195,30995.305,Normativo,294.0,646.16565,1673.3008,2319.4663,Aguascalientes
2051.1516,31170.492,Normativo,1248.0,0.0,272.05502,272.05502,Aguascalientes
1185.5167,45913.117,Normativo,936.0,50.213623,411.76898,461.9826,Aguascalientes
6443.9043,21170.801,Normativo,783.0,0.0,234.48776,234.48776,Aguascalientes
1811.0514,15144.639,Normativo,1304.0,0.0,141.62233,141.62233,Aguascalientes
6202.5571,11284.619,Normativo,522.0,449.80042,219.68848,669.48889,Aguascalientes
4583.0942,27202.361,Normativo,1040.0,0.0,389.21756,389.21756,Aguascalientes
21988.223,34249.297,Normativo,653.0,4139.7793,1182.2063,5321.9854,Aguascalientes
1488.5239,29988.906,Normativo,1387.0,70.932068,339.19,410.12207,Aguascalientes
4744.4722,35053.258,Normativo,1633.0,293.561,358.99673,652.55774,Aguascalientes
17729.85,31503.25,Normativo,327.0,2983.1306,864.62769,3847.7583,Aguascalientes
2899.3105,11949.419,Normativo,490.0,167.39612,239.63472,407.03082,Aguascalientes
3984.7446,19255.191,Normativo,1041.0,241.61385,386.14557,627.7594,Aguascalientes
2138.7686,36418.637,Normativo,781.0,115.39323,521.08563,636.47888,Aguascalientes
10935.022,22494.84,Normativo,1561.0,1192.3925,317.90533,1510.2979,Aguascalientes
9615.7197,15487.016,Normativo,520.0,919.36847,239.01549,1158.3839,Aguascalientes
1556.3163,16866.711,Normativo,786.0,0.0,149.89964,149.89964,Aguascalientes
1064.0614,22186.641,Normativo,1311.0,41.908985,91.137413,133.0464,Aguascalientes
8045.9585,15089.276,Normativo,1114.0,0.0,252.43399,252.43399,Aguascalientes
7236.5313,18924.434,Normativo,524.0,576.03064,271.41296,847.4436,Aguascalientes
2598.7822,21754.781,Normativo,1311.0,146.84717,106.45778,253.30495,Aguascalientes
1151.8879,13371.737,Normativo,1004.0,47.914223,151.24121,199.15543,Aguascalientes
11312.15,22686.266,Normativo,502.0,1274.7284,783.07697,2057.8054,Aguascalientes
738.57623,28585.949,Normativo,1067.0,19.653587,196.07204,215.72562,Aguascalientes
16061.236,21541.959,Normativo,267.0,2529.9063,745.96344,3275.8696,Aguascalientes
7682.0151,18328.174,Normativo,1334.0,0.0,152.30756,152.30756,Aguascalientes
12646.857,21646.494,Normativo,646.0,1602.501,567.83264,2170.3335,Aguascalientes
1300.0836,7652.4683,Normativo,304.0,58.047256,413.12354,471.17078,Aguascalientes
10673.566,33261.789,Normativo,1615.0,1135.3104,226.56651,1361.877,Aguascalientes
4470.2236,22870.807,Normativo,969.0,0.0,205.11551,205.11551,Aguascalientes
4925.1455,22796.701,Normativo,1824.0,0.0,130.54582,130.54582,Aguascalientes
9822.8115,15413.67,Normativo,765.0,958.81451,337.16257,1295.9771,Aguascalientes
4375.4321,18110.92,Normativo,765.0,268.32751,372.89493,641.22241,Aguascalientes
5799.8887,24539.305,Normativo,1020.0,400.6416,415.80963,816.45123,Aguascalientes
15411.527,26653.383,bisexual,720.0,0.0,309.51175,309.51175,Aguascalientes
1476.6564,8218.7871,Normativo,660.0,0.0,117.87328,117.87328,Aguascalientes
19192.688,25005.008,Normativo,1051.0,3380.4629,412.65607,3793.1189,Aguascalientes
