Estado,OSIG,ingreso_laboral,consumo,n_personas,ISR,IVA,Total aportacion,factor_ing_lab,factor_consumo,factor_ISR,factor_IVA,factor_aportacion_total
Aguascalientes,Lesbiana,82790.21280000001,177176.23440000002,6496.0,11180.996299999999,5007.368228,16188.364308,39099746.733500004,128927169.53940001,4154418.15772,2123837.812588,6278255.9174379995
Aguascalientes,Normativo,9093482.88262,24311538.57,1025098.0,819324.1779967,520580.415667,1339904.592503,6929425637.66449,20611869352.5861,582324316.3356075,341638461.615062,923962777.204525
Aguascalientes,T+,125183.47541,356246.053,18875.0,9469.365775999999,6072.483859,15541.8498,109585892.34352,350209936.94699997,7452361.093362,4686612.161498,12138973.36565
Aguascalientes,bisexual,220279.07881,836182.8214,36271.0,12493.618874,12961.116681,25454.735511,175653489.02448,800450121.3884,9168615.16007,9011485.788286,18180100.91359
Aguascalientes,gay,198778.9039,428047.052,14877.0,20256.96399,10345.92903,30602.89271,138973225.151,311117758.059,12931058.00419,6507614.69763,19438672.471470002
Aguascalientes,otro,57388.7695,154961.829,4136.0,5107.658993,3410.43052,8518.08967,26576636.5181,90969645.682,2258977.737995,1614387.29775,3873365.09057
Baja California,Lesbiana,56190.7791,160884.7143,20289.0,3874.85053,3355.8653799999997,7230.71588,141156776.96920002,461250592.262,9778418.2596,7890809.29156,17669227.50706
Baja California,Normativo,10809960.16177,24259404.9465,2843759.0,964821.619989,576383.48864,1541205.108061,22963872781.27594,56588924184.299904,1981953357.525409,1050835557.573827,3032788913.584268
Baja California,T+,28644.3092,84764.3469,10143.0,2366.025319,2009.295408,4375.32081,41437554.503,158804696.7591,2272345.2138799997,2343777.499838,4616122.79418
Baja California,bisexual,100131.059,339901.775,38930.0,7450.7563,5484.257264,12935.01325,226345851.37519997,842398260.382,16714076.57211,11398707.826648,28112783.64427
Baja California,gay,88637.3615,171833.475,16857.0,12669.036491,5041.46448,17710.50059,162825549.3893,358161831.487,22527862.303016003,8977899.72017,31505761.333899997
Baja California,otro,50119.4901,101246.83,9359.0,4984.67802,3202.21031,8186.8883000000005,68278453.9644,175792980.56500003,6813317.84952,4092866.39116,10906184.18692
Baja California Sur,Lesbiana,19998.9375,71992.6615,1612.0,1375.34303,1285.6959200000001,2661.0389999999998,7183841.0644000005,33155059.121,495656.40836,378481.01752,874137.44242
Baja California Sur,Normativo,10056434.73765,23452680.9385,590501.0,967103.4226165001,557854.930793,1524958.353893,4282404895.70557,11068487771.0515,385036367.0512655,206402616.811568,591438984.260388
Baja California Sur,T+,23481.10863,162601.098,3835.0,904.6779695,2806.142945,3710.820971,8696646.19836,68268107.626,325608.823579,895377.519352,1220986.360254
Baja California Sur,bisexual,164891.95206,577989.471,15979.0,9958.6756213,9631.734356,19590.410013,86582231.09128,307472326.798,4705085.5811811,4836901.977365,9541987.591736
Baja California Sur,gay,125349.7465,288468.38539999997,7027.0,12612.963271,6972.7570399999995,19585.72033,50738435.7538,138117680.887,4936332.874582,2123667.10034,7059999.968669999
Baja California Sur,otro,70986.25266,207088.155,5096.0,6874.715136999999,4243.899144,11118.61417,36340731.54182,113647469.681,2658127.312264,1769130.644222,4427257.92682
Campeche,Lesbiana,40864.20225,150211.34,3783.0,3721.735986,3161.028295,6882.76433,16212130.01695,61896999.8156,1386520.049745,1136987.341915,2523507.4003999997
Campeche,Normativo,7022437.61961,19166654.7351,655766.0,563977.8698207,391987.478904,955965.348281,3601100558.9267,10485473955.4821,295338750.45263207,175432376.26142,470771126.16618
Campeche,T+,86572.84524,259483.9287,11472.0,4609.340534,4804.260166,9413.600746,80038605.14702,240741461.02449998,4149661.315912,2751749.352404,6901410.736804
Campeche,bisexual,204879.16855,714991.96,25145.0,13407.685662,10326.216303,23733.90205,124823494.47196001,457842187.702,8692338.902958,5625113.920766,14317452.82218
Campeche,gay,153449.2877,316564.0749,8934.0,17646.536194,7350.38894,24996.92508,53381188.940400004,138543736.8513,4963937.81042,2325704.11187,7289641.91621
Campeche,otro,32064.1145,91077.774,2269.0,3949.895125,1558.6448,5508.5398399999995,11525120.2793,38530629.759,1061774.558925,586369.85136,1648144.39097
