Estado,OSIG,n_personas,ingreso_laboral,consumo,ISR,IVA,Total aportacion
Aguascalientes,Lesbiana,6496.0,39099747.0,128927170.0,4154418.0,2123838.0,6278256.0
Aguascalientes,Normativo,1025098.0,6929425638.0,20611869353.0,582324316.0,341638462.0,923962777.0
Aguascalientes,T+,18875.0,109585892.0,350209937.0,7452361.0,4686612.0,12138973.0
Aguascalientes,bisexual,36271.0,175653489.0,800450121.0,9168615.0,9011486.0,18180101.0
Aguascalientes,gay,14877.0,138973225.0,311117758.0,12931058.0,6507615.0,19438672.0
Aguascalientes,otro,4136.0,26576637.0,90969646.0,2258978.0,1614387.0,3873365.0
Baja California,Lesbiana,20289.0,141156777.0,461250592.0,9778418.0,7890809.0,17669228.0
Baja California,Normativo,2843759.0,22963872781.0,56588924184.0,1981953358.0,1050835558.0,3032788914.0
Baja California,T+,10143.0,41437555.0,158804697.0,2272345.0,2343777.0,4616123.0
Baja California,bisexual,38930.0,226345851.0,842398260.0,16714077.0,11398708.0,28112784.0
Baja California,gay,16857.0,162825549.0,358161831.0,22527862.0,8977900.0,31505761.0
Baja California,otro,9359.0,68278454.0,175792981.0,6813318.0,4092866.0,10906184.0
Baja California Sur,Lesbiana,1612.0,7183841.0,33155059.0,495656.0,378481.0,874137.0
Baja California Sur,Normativo,590501.0,4282404896.0,11068487771.0,385036367.0,206402617.0,591438984.0
Baja California Sur,T+,3835.0,8696646.0,68268108.0,325609.0,895378.0,1220986.0
Baja California Sur,bisexual,15979.0,86582231.0,307472327.0,4705086.0,4836902.0,9541988.0
Baja California Sur,gay,7027.0,50738436.0,138117681.0,4936333.0,2123667.0,7060000.0
Baja California Sur,otro,5096.0,36340732.0,113647470.0,2658127.0,1769131.0,4427258.0
Campeche,Lesbiana,3783.0,16212130.0,61897000.0,1386520.0,1136987.0,2523507.0
Campeche,Normativo,655766.0,3601100559.0,10485473955.0,295338750.0,175432376.0,470771126.0
Campeche,T+,11472.0,80038605.0,240741461.0,4149661.0,2751749.0,6901411.0
Campeche,bisexual,25145.0,124823494.0,457842188.0,8692339.0,5625114.0,14317453.0
Campeche,gay,8934.0,53381189.0,138543737.0,4963938.0,2325704.0,7289642.0
Campeche,otro,2269.0,11525120.0,38530630.0,1061775.0,586370.0,1648144.0
Chiapas,Lesbiana,32383.0,118143880.0,368030748.0,8919014.0,5670309.0,14589323.0
Chiapas,Normativo,3737757.0,16239224504.0,49110838564.0,1199038367.0,777218661.0,1976257031.0
Chiapas,T+,41700.0,126514881.0,508193017.0,5946449.0,7001603.0,12948052.0
Chiapas,bisexual,72002.0,192152091.0,1043484981.0,9166512.0,8964809.0,18131320.0
Chiapas,gay,51046.0,276188223.0,734341494.0,18869838.0,12578428.0,31448266.0
Chiapas,otro,18317.0,43669909.0,303863125.0,2885064.0,3475310.0,6360375.0
Chihuahua,Lesbiana,15611.0,140310158.0,368964711.0,1974533.0,4682955.0,6657488.0
Chihuahua,Normativo,2718000.0,21050205483.0,53988528185.0,1984256847.0,970312064.0,2954568913.0
Chihuahua,T+,20178.0,95180873.0,308344905.0,5226019.0,3399542.0,8625560.0
Chihuahua,bisexual,48673.0,274810350.0,932988331.0,13951811.0,13304944.0,27256755.0
Chihuahua,gay,48860.0,466328931.0,818167582.0,39629992.0,16866815.0,56496806.0
Chihuahua,otro,5310.0,20479138.0,136887953.0,1181394.0,1012482.0,2193876.0
Ciudad de México,Lesbiana,57117.0,464640682.0,1259622731.0,49136938.0,24600418.0,73737357.0
Ciudad de México,Normativo,7536277.0,54582423084.0,156396747630.0,5068660880.0,2922542015.0,7991202867.0
Ciudad de México,T+,31074.0,200133172.0,596134306.0,16661607.0,10667848.0,27329455.0
Ciudad de México,bisexual,84563.0,491030098.0,1765116062.0,48204146.0,29045461.0,77249607.0
Ciudad de México,gay,111857.0,1153625882.0,2902599802.0,130755205.0,43806343.0,174561549.0
Ciudad de México,otro,26177.0,149676374.0,449096835.0,13625430.0,8092616.0,21718046.0
Coahuila de Zaragoza,Lesbiana,11827.0,77092325.0,161529814.0,3247741.0,2876107.0,6123848.0
Coahuila de Zaragoza,Normativo,2323760.0,17686652350.0,43582864400.0,1601120141.0,761772706.0,2362892846.0
Coahuila de Zaragoza,T+,23634.0,140824156.0,466877375.0,10465063.0,5647038.0,16112101.0
Coahuila de Zaragoza,bisexual,41384.0,261880593.0,891473636.0,15059905.0,14040589.0,29100494.0
Coahuila de Zaragoza,gay,27842.0,236907151.0,543856639.0,17281352.0,7335993.0,24617346.0
Coahuila de Zaragoza,otro,4770.0,23380645.0,90999591.0,3580538.0,1661937.0,5242475.0
Colima,Lesbiana,3212.0,21769778.0,53405454.0,1365420.0,964530.0,2329950.0
Colima,Normativo,527655.0,3749960694.0,9806022354.0,308905999.0,183743083.0,492649083.0
Colima,T+,9817.0,57137386.0,176331503.0,4563345.0,2526773.0,7090118.0
Colima,bisexual,25421.0,169971240.0,532579182.0,12727256.0,7446532.0,20173789.0
Colima,gay,5854.0,45684563.0,110077203.0,4918614.0,2357297.0,7275912.0
Colima,otro,6114.0,34304612.0,110143297.0,2664404.0,1400591.0,4064994.0
Durango,Lesbiana,4312.0,17148624.0,61676670.0,1285059.0,1522751.0,2807811.0
Durango,Normativo,1270312.0,8156548220.0,23161961030.0,694131670.0,384943230.0,1079074900.0
Durango,T+,23399.0,107178789.0,472372908.0,9183517.0,6013464.0,15196981.0
Durango,bisexual,36528.0,152999748.0,719293002.0,9751972.0,8528315.0,18280287.0
Durango,gay,21628.0,149559833.0,418972727.0,13912510.0,5841416.0,19753926.0
Durango,otro,10583.0,40881780.0,205726206.0,3141909.0,1915465.0,5057374.0
Guanajuato,Lesbiana,6766.0,57467978.0,130367004.0,3937596.0,2407615.0,6345211.0
Guanajuato,Normativo,4411008.0,24639140693.0,79929280819.0,1877064439.0,1194970398.0,3072034833.0
Guanajuato,T+,40889.0,200389490.0,768471053.0,12683286.0,9425435.0,22108722.0
Guanajuato,bisexual,117387.0,582063048.0,2679128803.0,43626979.0,29037419.0,72664398.0
Guanajuato,gay,45818.0,261092879.0,761198470.0,15614631.0,10730544.0,26345175.0
Guanajuato,otro,17097.0,52402285.0,300709784.0,1697375.0,1823399.0,3520774.0
Guerrero,Lesbiana,27780.0,151249990.0,444557871.0,11589261.0,6166536.0,17755797.0
Guerrero,Normativo,2326342.0,10695652829.0,32446688544.0,743745257.0,517113638.0,1260858894.0
Guerrero,T+,29671.0,132659238.0,323193622.0,5826043.0,5984745.0,11810788.0
Guerrero,bisexual,76304.0,250458151.0,1179731189.0,13666775.0,14163517.0,27830292.0
Guerrero,gay,34112.0,194867016.0,543588588.0,17684123.0,8717626.0,26401749.0
Guerrero,otro,18155.0,91830703.0,282783660.0,7904928.0,3601287.0,11506214.0
Hidalgo,Lesbiana,11303.0,43645264.0,149995109.0,2459900.0,2592759.0,5052658.0
Hidalgo,Normativo,2257753.0,12218759292.0,37544411065.0,934842864.0,606258586.0,1541101449.0
Hidalgo,T+,15412.0,79164584.0,261215207.0,3973033.0,2813275.0,6786308.0
Hidalgo,bisexual,53785.0,177500496.0,1043243781.0,8649209.0,10979370.0,19628579.0
Hidalgo,gay,22514.0,169958821.0,380641234.0,15853193.0,7571271.0,23424464.0
Hidalgo,otro,7756.0,34371963.0,139328310.0,1558805.0,2016771.0,3575576.0
Jalisco,Lesbiana,36902.0,275966095.0,913413045.0,26648360.0,15476120.0,42124480.0
Jalisco,Normativo,5988931.0,41345381933.0,113386360641.0,3541193599.0,1980828813.0,5522022410.0
Jalisco,T+,83788.0,432174470.0,1882413854.0,28703060.0,20009468.0,48712528.0
Jalisco,bisexual,117883.0,464380379.0,2505521129.0,21471201.0,27310728.0,48781929.0
Jalisco,gay,40117.0,343940080.0,753348100.0,33603079.0,14241571.0,47844649.0
Jalisco,otro,19580.0,198897241.0,596854497.0,11456848.0,9290953.0,20747801.0
Michoacán de Ocampo,Lesbiana,6074.0,21347814.0,60907317.0,993309.0,1354538.0,2347847.0
Michoacán de Ocampo,Normativo,3461698.0,20366934090.0,58284830769.0,1642748931.0,1001350375.0,2644099306.0
Michoacán de Ocampo,T+,18803.0,85321602.0,337868064.0,6379770.0,4831708.0,11211478.0
Michoacán de Ocampo,bisexual,51170.0,226143118.0,837521049.0,15617266.0,10125369.0,25742635.0
Michoacán de Ocampo,gay,43456.0,275926502.0,865802328.0,22583878.0,11503111.0,34086989.0
Michoacán de Ocampo,otro,14166.0,56169892.0,259573726.0,4213084.0,2120316.0,6333399.0
